#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
ABCA13	0	0.5	0	0.22	0.16	0	0.55	0.45	0.51	0.1	0.99	0.38	0	0.27	0	0.1	0	1.13	0.98	0	1.02	0	0	0	0	0
ABCA2	3.33	2.37	3.89	5.63	7.7	8.41	11.37	10.84	10.15	7.83	9.17	14.92	15.65	13.85	17.89	11.62	20.58	10.75	13.51	39.06	29	11.06	17.88	12.39	29.1	19.51
ABCA3	2.7	0.69	2.79	5.81	7.26	8.72	8.23	7.36	15.63	9.64	12.85	14.75	14.69	15.7	23.26	6.35	12.28	22.87	22.52	19.07	19.95	22.32	16.81	31.42	20.94	27.07
ABCA4	0	0	0	0.34	0	0	0.16	0.56	0.15	0.24	0.57	1.75	0.83	0	0.67	0.48	0.9	1.63	0.31	0	0	0	0	0	0	0.92
ABCA5	0.91	2.17	1.51	3.18	1.76	2.1	1.56	2.37	4.19	3.34	7.36	7.44	6.69	7.55	8.41	10.18	4.03	16.08	11.69	13.54	23.22	13.14	8.36	14.03	7.66	12.13
ABCA6	0	0	0	0	0	0	0	0	0.21	0	0	0	0	0	0	0	0	0	0.43	0	0	0	0	0	2.51	2.56
ABCA7	2.47	5.66	7.1	8.73	2.55	4.12	3.91	5.7	4.16	2.03	5.18	4.93	3.34	2.65	2.4	5.4	2.9	2.92	3.03	2.85	7.23	3.94	5.35	5.61	10.03	3.97
ABCA8	0	0	0	0	0	0	0	0	0	2.42	0	0	0	0	4.01	3.99	1.92	0	0	2.04	0.34	1.34	0	1.87	5.98	0
ABCA9	3.15	1.39	1.12	0.78	0.31	1.53	1.11	1.15	1.65	0.83	340.72	51.36	42.32	3.9	85.5	4.96	42.36	115.62	302.1	27.84	16.11	103.31	5.48	4.19	12.35	1959.79
ABCB1	1.34	0.24	0.56	0	0	0	3.69	8.39	27.75	18.34	15.32	16.33	16.79	9.28	6.16	5.21	3.73	11.86	4.39	3.3	2.68	1.22	3.67	2.27	2.02	4.97
ABCB10	18.04	23.3	10.98	24.83	27.09	28.79	38.26	40.81	40.52	34.08	45.39	48.71	36.76	43.09	22.15	39.66	32.57	35.24	49.51	19.2	27.17	28.44	36.92	32.62	18.27	7.92
