#symbol	H1Rosa7_d0	H1Rosa7_d1	H1Rosa7_d2	H1Rosa7_d3	H1Rosa7_d4	H1Rosa7_d5	H1Rosa7_d6	H1Rosa7_d7	H1Rosa7_d8	H1Rosa7_d10	H1Rosa7_d12	H1Rosa7_d14	H1Rosa7_d16	H1Rosa7_d18	H1Rosa7_d20	H1Rosa7_d21	H1Rosa7_d22	H1Rosa7_d24	H1Rosa7_d26	H1Rosa7_d30	H1Rosa7_d32	H1Rosa7_d34	H1Rosa7_d36	H1Rosa7_d38	H1Rosa7_d40	H1Rosa7_d42
CHI3L1	0	0	0.48	0	0	0	1.91	0	0	4.74	2.28	0	0	0	0	0	0	0	3.78	0	0	0	0	0	0	0
CHI3L2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHIA	0	0	0	0.93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.52
CHIC1	6.85	18.39	12.1	11.13	7.15	8.13	5.7	6.82	5.84	8.74	6.61	14.83	8.14	7.61	12.81	9.14	2.54	11.29	10.63	11.67	4	6.39	14.87	13.07	23.57	11.65
CHIC2	11.17	18.07	19.47	8.78	22.46	16.57	22.56	22.67	23.15	38.18	45.92	36.85	44.4	54.67	33.35	52.75	40.85	109.36	40.61	42.99	45.37	39.07	69.63	40.62	11.77	35.93
CHID1	29.21	23.47	27.82	28.47	23.86	21.67	21.6	24.2	23.12	17.44	21.13	16.61	24.81	16.33	24.42	14.17	12.61	33.44	22.22	16.03	8.93	19.66	24.16	17.1	11.68	8.36
CHIT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHKA	50.95	59.16	30.94	17.9	15.82	18.47	24.44	36.38	48.02	43.43	40.7	25.48	40.5	39.62	33.95	27.9	43.92	42.78	45	33.8	48.16	73.86	58.94	53.22	37.29	10.22
CHKB	11.75	15.49	17.49	14.78	17.42	6.78	9.35	17.44	21.65	17.14	46.39	6.96	17.93	21.52	28.48	32.66	42.3	38.36	39.89	26.54	11.02	10.72	32.17	35.86	2.36	18.9
CHL1	0.14	0.16	0.24	0.78	1.1	1.17	1.6	1.14	0.89	6.49	8.8	22.55	51.85	59.34	45.19	27.09	26.74	65.94	61.28	66.27	203.6	176.76	213.66	212.57	163.58	111.12
CHM	41.17	26.42	40.68	28.6	28.3	24.71	39.58	30.14	41.88	35.68	30.87	35.36	49.59	32.36	24.37	27.38	19.59	26.27	24.11	23.8	36.86	26.9	29.21	18.4	26.4	49.39
CHML	115.3	100.81	104	113.55	110.78	93.76	70.37	55.12	76.34	90.68	84.7	75.01	80.17	67.79	74.65	52.55	55.7	65.53	86.3	47.24	61.79	67.52	46.74	73.84	51.6	86.8
CHMP1A	62.9	55.67	61.6	74.21	61.58	51.26	44.9	67.59	56.29	44.57	43.78	38.96	44.77	58.38	44.05	49.81	43.15	76.36	51.9	38.98	44.14	72.7	58.15	67.26	32.7	49.51
CHMP1B	153.23	164.35	123.51	116.04	109.62	140.56	112.14	115.09	126.68	175.54	177.75	129.47	181.75	146.87	134.21	129.75	132.86	129.11	146.14	181.63	138.51	164.19	178.43	150.6	179.88	172.94
CHMP2A	66.64	111.89	90.77	96.98	112.16	77.61	93.18	94.51	103.53	134.24	120.05	102.02	110.23	86.98	53.64	83.23	99.11	96.95	77.66	68.53	109.61	104.44	111.34	101.77	68.93	87.94
CHMP2B	98.04	91.16	76.12	77.84	55.73	84.17	75.84	80	79.24	68.03	97.69	92.54	61.67	68.62	68.34	83.2	67.14	96.87	76.39	66.93	97.34	124.86	63.19	86.08	82.13	44.29
CHMP3	25.98	13.53	25.72	12.14	36.72	39.67	50.31	49.5	65.53	83.13	85.98	85.31	90.69	94.96	59.36	98.15	86.23	84.75	104.45	99.36	91.02	101.31	85.96	50.29	86.23	87.48
CHMP4A	38.54	26.31	50.7	54.75	26.99	45.51	29.48	32.76	52.18	24.53	34.16	23.96	26.16	56.36	20.84	8.45	21.38	61.13	30.9	52.34	36.88	37.33	25.84	54.95	7.1	30.33
CHMP4B	135.56	137.9	114.49	130.21	129.6	130.25	107.44	146.62	141.86	110.2	193.7	108.16	127.88	159.13	171.01	135.63	160.59	171.32	187.37	183.74	150.13	180.29	167.32	166.29	130.61	122.55
CHMP4C	2.88	0.62	0.25	4.75	1.48	2.58	8.37	3.64	4.77	0.94	14.24	5.76	1.67	1	0	3.01	5.26	13.36	10.78	4.26	6.92	13.44	2.36	0	0	15.08
CHMP5	83.46	75.44	88.47	76.73	63.77	65.15	94.26	95.01	82.27	142.9	103.11	134.57	114.03	88.56	108.96	88.81	91.78	86.4	111.75	130.57	120.05	108.43	163.2	164.07	127.66	77.45
CHMP6	9.58	10.34	10.7	14.32	13.8	14.22	15.49	22.59	10.6	8.39	3.78	2.92	6.47	20.14	0	4.26	4.01	9.69	13.94	4.72	25.16	8.16	11.66	11.16	21.93	10.28
CHMP7	33.72	25.37	35.23	36.5	35.78	22.03	28.31	34.77	42.66	15.24	38.45	29.69	32.21	38.14	37.61	34.05	43.99	28.74	27.01	46.63	55.13	44.06	62.13	50.89	33.54	43.81
CHN1	51.28	91.33	154.23	107.25	98.92	57.61	87.97	65.45	89.2	74.33	91.53	93.87	132.04	107.21	137.45	164.83	119.93	186.68	129.13	134.88	156.89	138.26	141.67	82.43	102.85	87.93
CHN2	3.99	3.64	0.51	2.53	5.85	2.28	11.99	6.27	12.97	17.04	8.48	10.79	11.98	24.37	32.53	17.4	31.45	24.44	21.76	22.71	41.25	30.26	44.27	16.53	28.84	23.44
CHODL	3.13	7.31	1.66	1.85	0	2.32	7.47	4.68	7.57	1.71	16.65	4.77	23.67	1.79	30.88	23.16	18.53	20.76	14.07	13.75	8.1	18.09	31.69	21.66	21.58	18.46
CHORDC1	160.53	121.41	112.73	100.03	109.6	103.59	97.24	79.87	97.26	96.2	94.15	92.24	77.53	76.84	70.92	62.93	80.15	61.46	68.71	72.02	98.13	80.8	55.57	55.84	50.98	66.6
CHP	70.83	83.84	87.09	96.29	85.5	121.29	106.09	88.6	85.94	87.65	137.04	119.37	88.99	78.79	102.84	102.31	120.37	82.81	72.55	98.06	72.24	59.21	68.71	48.22	109.46	164.71
CHP2	5.61	6.76	5.61	3.69	9.39	6.57	3.94	5.63	0.93	2.97	36.84	2.75	6.26	4.91	18.13	5.97	14.03	19.42	15.79	11.72	4.2	5.72	13.24	6.7	0.81	68.32
CHPF	40.94	27.71	20.4	15.62	9.18	14.88	10.62	16.1	12.81	31.62	35.65	5.92	22.47	27.03	25.64	36.51	30.27	37.49	28.9	54.14	27.85	50.54	42.54	54.31	72.08	46.48
CHPF2	10.62	13.75	10.67	13.78	13.16	14.18	15.51	14.19	12.94	14.82	14.7	10.11	16.51	11.04	16.55	12.4	17.21	9.06	15.65	11.29	13.94	10.66	3.88	10.43	4.32	9.4
CHPT1	36.66	30.77	18.76	8.81	9.49	7.05	17.96	15.48	28.15	26.75	24.13	29.99	52.04	34.06	31.74	57.75	25.55	29.61	40.01	46.43	30.56	16.11	21.07	19.76	26.99	37.14
CHRAC1	47.59	39.79	37.53	32.3	37	45.32	19.72	30.93	21.91	42.82	49.31	38.64	34.91	61.1	36.88	60.59	13.99	42.79	55.56	34.43	18.31	28.68	43.94	22.83	19.84	28.02
CHRD	0	0	0.25	2.83	1.52	3.11	6.94	1.65	1.86	2.95	3.55	4.11	3.47	2.15	2.33	5.5	8.77	0.57	0.65	3.88	3.93	6.56	4.37	1.31	4.33	3.86
CHRDL1	11.3	7.92	16.73	19.56	23.35	27.86	27.81	19.76	30.63	53.8	69.82	76.96	54.24	31.36	41.2	58.46	86.19	37.52	39.87	63.77	37.14	30.47	37.12	58.2	40.1	55.95
CHRDL2	1.9	0	0	0.75	0	0	0	1.49	0	0	1.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.04
CHRFAM7A	2.69	1.79	0.5	0	1.92	0	1.03	0	0.71	0	7.38	6.81	7.13	3.77	0	5.41	13.28	14.1	4.88	11.61	6.24	4.21	6.38	2.62	0	0
CHRM1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.68	0
CHRM2	0	0	0	0	0	0	0	0	0	0	0.81	0	0	0	0	0	0	0	0	0.72	1.66	2.85	0	0	4.94	1.32
CHRM3	23.98	19.25	20.27	13.41	12.22	26.59	18.87	14.63	10.36	12.41	69.78	19.74	25.34	22.37	23.54	19.33	22.8	22.8	35.99	20.67	28.48	10.36	20.08	13.33	19.55	118.61
CHRM4	0	0	0	0	0	2.15	0	0.57	3.01	0	0	0	0	0	0	0	0	0	0	0	0	0	3.97	0	0	4.67
CHRM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.18	0	0	0	0	1.27	0	0	0	7.83
CHRNA1	0	0	0	0	0	0	0	0	0	0	3.17	3.26	0	3.07	0	5.36	0	0	0	0	0	2.93	3.91	0	0	1.72
CHRNA10	0	0	0.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNA2	0	0	0.22	0	0	0	0	0	0	1.18	0	0	0.36	0	0	0	2.88	0	0	0	0	1.34	0	0	3.75	0
CHRNA3	4.18	1.69	1.06	1.23	0	2.33	0	0.41	2.71	0.86	4.13	4.84	6.44	10.05	8.43	3.49	0	10.85	29.85	28.02	10.78	13.35	22.06	6.48	12.27	5.12
CHRNA4	0.38	1.24	0.97	0.23	0	0	0	0	0	0.32	1.9	2.93	6.3	6.06	8.28	10.9	10.05	9.11	4.2	10.88	9.61	2.46	8.77	3.64	10.76	11.13
CHRNA5	18.22	17.75	27.76	27.46	31.82	32.32	29.2	13.04	18.11	17.72	14.57	28.94	33.7	22.55	18.98	24.79	15.89	46.68	29.37	18.52	43.36	31.54	24.28	32.03	28.88	48
CHRNA6	0	0.98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.15	0	1.67	1.7	0	0	0	0	2.91
CHRNA7	2.24	6.6	9.19	8.06	0	2.89	2.9	3.95	7.79	4.04	3.38	3.09	4.37	8.12	5.7	3.98	6.94	4.35	2.49	2.77	0	9.86	9.04	4.3	1.83	11.38
CHRNA9	4.65	4.52	1.95	4.39	8.28	8.28	12.31	1.83	0	0	2.76	2.13	0.67	0.67	0.72	1.55	0	0	2.03	0	0	0	0	0	9.24	0
CHRNB1	10.08	5.67	10.52	14.05	6.5	6.08	12.56	17.03	18.63	38.78	59.29	15.61	17.9	12.31	31.21	23.03	15.21	27.05	32.57	8.03	32.19	18.59	13.13	10.01	12.08	114.23
CHRNB2	3.5	1.59	0.62	2.39	2.34	1.36	0.2	2.02	0.19	0.3	0.73	1.12	2.13	4.48	1.43	7.67	4.23	11.51	8.03	8.84	15.18	9.74	6.38	13.12	14.63	10.06
CHRNB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNB4	3.73	5.6	7.96	1.7	1.84	2.17	0	0	0	0	3.44	1.32	7.41	7.3	12.25	3.6	3.13	11.47	18.88	24.43	8.17	2.64	0	7.58	7.86	8.05
CHRND	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNE	0	0.46	0	0	0	0	0	0	0.45	0	0	0	0	0	0	0	0	3.25	0	0	0	0	0	0	0	0
CHRNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHST1	0.91	0.08	2.53	0	0.34	3.89	0.3	1.26	1.45	0	3.23	2.34	4.87	3.07	3.82	3.57	4.76	3.92	14.86	6.35	12.6	14.9	2.31	9.63	6.09	9.61
CHST10	25.17	26.76	19.52	25.33	35.75	21.42	16.73	20.66	16.12	16.41	13.89	24.81	23.02	19.63	24.23	23.46	11.61	33.69	29.89	31.48	19.44	30.41	33.79	37.18	16.72	40.5
CHST11	7.31	14.8	14.37	11.22	13.71	15.42	12.7	17.39	30.9	15.01	23.47	20.61	23.01	15.73	22.51	19.87	19.88	12.48	13.57	16.9	15.09	22.03	19.36	37.79	29.4	33.18
CHST12	10.55	18.45	18.57	15.97	10.24	17.81	7.77	10.68	12	9.09	12.03	9.18	9.46	15.14	12.27	5.88	17.91	11.45	13.19	12.15	18.64	13.25	4.59	16.08	6.37	2.09
CHST13	1.79	0	0.5	0	1.51	0	3.28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92
CHST14	9.64	6.24	7.26	14.21	10.41	16.44	19.12	28.41	21.48	13.45	21.88	13.95	15.33	16.58	12.77	20.09	23.17	31.98	7.36	10.69	10.85	1.76	13.19	9.82	0	6.2
CHST15	4.85	10.48	6.28	1.04	0	3.27	2.43	9.61	17.15	49.86	39.64	10.42	11.34	9.17	9.63	3.68	13.38	5.02	12.52	5.3	5.57	15.31	16.11	7.07	18.34	6.39
CHST2	9.42	9.62	8.53	6.91	5.83	6.05	3.09	2.8	6.07	7.94	10.06	7.76	4.79	7.67	2.78	4.25	5.33	6.28	3.89	0.47	6.69	5.11	4.18	3.34	1.38	4.04
CHST3	4.18	2.93	4.92	6.41	7.85	8.69	10.64	13.85	16.57	21.04	18.44	10.79	11.34	15.23	13.69	27.54	18.91	15.27	29.94	32.6	25.04	25.32	25.32	25.67	35.04	35.55
CHST4	9.36	7	4.18	0	0	0	0	0.39	0	0	0	0	0	0	0	0	0	0	0	0	2.81	0	0	0	0	4.82
CHST5	1.04	0.09	0.98	1.81	0.87	1.25	2.24	1.04	0	0	10.81	2.56	1.62	3.43	0	2.35	0	0	6	4.21	2.21	1.68	1.39	5.26	0	14.78
CHST6	10.41	10.03	12	11.31	13.6	12	6.8	11.11	7.81	6	31.18	8.58	10.96	7.11	10.52	9.31	12.79	7.15	21.24	9.88	5.64	13.2	13.72	8.76	13.71	55.56
CHST7	18.78	9.89	5.75	7.03	8.73	6.8	3.53	5.04	2.85	0	0	2.79	1.32	6.57	4.28	0	0	24.32	6	1.69	6.87	0	8.36	12.67	12.41	0
CHST8	8.92	3.59	0	0.58	0	0	0	1.56	0	0	0	0	0	1.22	1.55	0	14.51	7.52	2.16	6.42	0.93	4.53	9.05	5.05	4.48	6.38
CHST9	21.09	5.66	7.58	2.25	0.61	4.25	8.94	18.05	22.35	8.61	22.21	1.45	4.83	13.67	6.69	7.95	0	13.56	16.65	8.81	8.05	0	0	3.47	0	0
CHSY1	87.73	46.71	45.08	40.42	58.83	65.66	52.74	45.26	58.47	61.98	57.56	43.02	52.97	64.37	48.25	56.77	47.68	66.77	49.21	46.36	57.81	56.13	42.25	53.61	59.8	50.04
CHSY3	2.11	0.98	0.51	1.07	1.54	0	2.66	0.24	2.19	1.98	11.33	1.84	0.44	0.87	5.18	5.04	0	3.44	0	0.56	2.83	0	0	0	0	0
CHTF18	18.45	20.65	21.45	29.83	18.67	25.35	20.34	16.38	21.25	16.27	14.17	15.09	18.78	18.61	6.92	10.26	5	18.79	8.2	6.32	14.1	6.24	21.21	9.45	6.79	8.8
CHTF8	54.07	52.15	52.55	59.08	50.79	67.29	55.71	71.78	41.74	60.49	52.78	47.33	56.42	56.72	37.4	40.36	25.68	43.83	68.44	39.09	62.34	39.94	44.84	33.12	32.28	37.55
CHTOP	51.78	62.83	57.44	73.47	68.14	59.56	73.36	69.79	43.03	60.58	27.32	37.77	60.03	46.28	42.23	60.36	44.6	52	67.95	53.29	63.81	43.15	83.15	78.88	54.16	36.25
CHUK	34.12	25.84	31.32	32.49	32.71	32.42	37.95	28.7	40.03	32.43	37.82	12.77	31.6	27.46	20.06	14.98	14.39	40.29	27.44	28.77	27.51	27.32	26.23	30.93	20.01	23.12
CHURC1	9.31	8.36	6.94	5.36	13.6	9.69	10.04	13.96	24.8	43.79	54.56	25.08	32.41	34.79	43.39	14.98	34.51	45.96	65.67	23.71	38.85	58.36	52.18	46.46	28.97	210.92
CHURC1-FNTB	4.75	8.41	9.45	8.6	6.16	18.26	14.3	7.75	0	8.71	30.35	15.45	6.61	10.76	0	13.02	15.35	0	0	13.39	0	12.91	0	0	6.29	9.69
CIAO1	42.24	36.25	50.32	49.06	61.47	67.89	73.37	62.76	66.83	57.88	80.08	72.59	64.32	78.37	98.48	80.2	54.42	73.81	78.26	91.36	87.76	81.23	87.94	68.84	83.73	89.19
CIAPIN1	87.09	58.67	65.74	67.71	81.89	65.73	65.48	105.64	84.02	66.12	80.67	69.02	50.96	100.3	83.16	44.5	43.15	79.22	61.53	39.08	60.43	45.95	36.76	43.37	48.2	24.3
CIB1	17.59	8.3	10.12	3.89	5.59	9.79	10.91	8.64	15.95	9.02	26.04	6.7	11.13	17.33	11.99	0	27.58	6.25	14.4	10.16	10.31	8.03	0	25.6	13.9	21.22
CIB2	32.33	33.4	25.83	41.39	30.34	23.47	28.06	30.28	38.52	28.23	29.88	22	44.76	11.83	42.88	35.56	25.89	40.43	24.02	26.7	38.71	23.38	13.81	4	14.91	30.99
CIB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIB4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIC	13.65	21.16	27.54	32.44	22.48	23.68	21.41	22.67	27.7	35.35	23.15	22.84	23.91	22.87	11.69	34.63	37.78	27.19	27.28	31.63	32.09	30.18	44.22	28.26	39.59	29.08
CIDEA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIDEB	0	0	0	0.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CIDEC	0	1.93	0	1.05	0	0	0.98	1.4	0	0	0	1.36	0	0	0	0	0	0	1.95	1.65	8.02	0	0	0	0	0
CIITA	2.18	0.24	0.53	0.18	0.87	0.95	0.13	0.12	0	0	1.29	0	0.28	1.02	0.82	0	0	0.29	3.47	1.82	0	0.68	0.96	4.77	1.62	0
CILP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CILP2	4.77	0.81	3.15	1.78	1.28	2.98	1.38	3.55	1.82	2.88	0.99	1.91	1.81	0.72	3.13	5.02	6.3	2.38	2.74	1.86	0	0	0	1.1	4.99	0.81
CINP	93.97	54.81	47.84	49.44	77.46	69.71	69.99	65.87	93.46	72.96	60.17	92.22	67.94	60.06	102.91	34.76	69.35	48.15	52.66	77.46	19.05	99.68	106.63	49.5	22.94	44.95
CIR1	33.76	38.98	30.24	24.45	26.34	26.36	33.29	20.01	32.54	40.83	52.61	45.11	59.95	54.32	43.38	47.41	39.62	49.4	43.95	30.65	38.88	55.14	44.32	37.93	50.28	40.02
CIRBP	221.28	330.16	368.49	455.65	597.37	578.51	551.77	409.35	460.36	584.96	468.49	574.19	769.09	404.64	441.16	657.87	362.12	442.65	487.94	713.64	667.89	526.88	718.71	526.2	919.44	731.69
CIRH1A	73.76	66.91	43.65	38.8	45.97	34.85	53.34	39.51	51.13	29.31	29.68	25.05	27.17	22.89	30.75	36.04	21.61	35.63	30.76	6.08	11.46	38.59	30.87	28.03	13.58	10.58
CISD1	37.7	34.17	31.98	46.26	32.58	24.61	33.25	44.65	51.07	27.23	47.64	49.01	40.71	49.72	67.37	40.24	46.24	50.51	48.28	62.26	40.54	54.14	76.16	52.68	32.69	40.44
CISD2	27.86	24.88	25.07	25.3	33.5	35.77	30.02	27.23	30.3	27.26	29.18	27.06	33.53	23.53	15.04	18.83	23.77	37.05	36.24	27.1	37.51	40.43	46.72	18.17	29.68	28.45
CISD3	5.62	2.6	3.36	5.68	4.08	4.17	6.19	2.21	2.91	1.32	4.75	12.22	0.58	1.15	1.88	0.67	1.68	0	0	0	2.26	0	3.66	7.01	0	5.16
CISH	0	0	0.84	0.59	4.47	2.23	2.21	4.34	0	0.82	5.95	3.82	1.45	0	0	0.84	0	3.54	0	5.57	0.94	0	2.75	0	0	3.23
CIT	26.18	32.02	40.4	56.65	53.06	52.27	63.65	41.44	40.02	35.85	29.07	52.03	48.4	34.93	25	40.64	33.54	27.62	29.23	28.77	25.03	22.68	18.1	24.59	10.17	12.81
CITED1	1.31	0	0	1.55	3.34	3.9	2.89	3.38	0	0	5.18	0	0	1.88	10.23	8.76	0	0	14.33	4.85	12.83	35.95	9.59	7.64	0	14.67
CITED2	63.24	282.97	314.44	240.06	157.94	133.82	178.23	164.63	151.64	171.53	98.8	60.15	57.26	45.72	32.57	45.86	82.56	57.01	56.41	28.46	70.7	46.97	105.41	67.05	77.49	44.28
CITED4	12.4	5.35	3.46	1.95	0	3.68	1.82	6.5	3.43	0	0	2.52	4.78	8.3	2.58	0	3.46	0	0	0	3.1	0	0	0	16.43	5.32
CIZ1	77.26	74.38	75.53	97.09	80.5	81.06	74.01	87.53	83.65	63.56	87.8	78.47	117.97	103.21	117.17	119.5	177.98	76.29	91.02	102.27	108.58	81.84	100.01	72.82	84.17	70.42
CKAP2	77.95	104.51	128.63	158.28	180.84	204.93	230.1	156.7	185.05	170.64	173.8	175.91	187.07	162.22	154.95	173.34	123.42	153.69	142.32	124.26	144.1	132	137.15	123.73	104.61	89.07
CKAP2L	21.28	35.14	34.28	45.27	58.18	52.63	63.98	35.99	52.81	52.92	52.2	78.22	76.94	73.48	65.33	59.15	28.31	66.02	63.34	54.24	77.41	45.33	48.85	77.44	21.55	38.39
CKAP4	129.39	141.93	140.05	148.55	183.93	207.46	235.31	294.47	353.35	389.42	300.83	220.43	224.33	203.25	190.26	148.36	177.23	209.03	179.92	181.94	152.66	138.01	168.89	137.2	136.36	91.77
CKAP5	219.71	210.2	305.05	319.25	326.4	337.6	354.39	339.2	386.68	378.15	344.09	416.5	383.38	337.03	356.06	392.25	425.28	313.8	388.26	382.94	333.37	283.3	286.43	354.41	240.19	251.43
CKB	143.92	368.13	261.15	140.49	76.13	95.39	189.25	401.36	448.34	408.97	597.12	669.96	911.73	724.6	814.05	988.08	1195.93	887.81	1098.6	885.84	763.25	990.92	880.17	987.81	807.74	575.94
CKLF	6.28	6.78	1.44	30.8	19.67	35.73	19.05	12.17	16.94	46.35	0	18.34	38.43	12.93	10.72	8.61	0	0	37.54	41.34	43.5	20.07	12.56	38.86	24.86	20.22
CKLF-CMTM1	0	0	0	0	0	0	0	0	0	0	5.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKM	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKMT1A	84.17	57.33	32.48	18.66	25.79	7.09	4.61	1.64	0.93	0	0	0.91	2.16	6.42	4.19	0	3.74	3.96	2.61	0.55	8.4	2.72	7.63	2.17	17.79	9.6
CKMT1B	0	0	32.48	18.67	0	7.09	4.61	1.64	0.93	0	0	0.91	2.16	6.42	4.19	0	3.74	3.96	2.61	0.55	8.4	2.72	0	2.17	17.79	9.6
CKMT2	0.72	1.55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKS1B	231.49	148.44	220.36	195.07	245.42	300.28	256.63	279.66	213.91	228.01	156.69	153.14	198.93	197.17	138.12	220.59	237.83	220.68	184.77	149.14	176.15	101.42	132.8	130.98	176.84	85.13
CKS2	69.37	53.74	90.83	104.92	90.41	147.79	82.35	102.05	112.47	140.16	59.7	86.7	72.02	79.03	94.24	106.78	26.03	40.46	34.94	46.03	130.11	42.21	71.43	59.54	41.77	34.34
CLASP1	36.55	48.32	59.17	67.8	85.05	82.59	83.46	77.48	84.99	65.54	66.01	78.51	76.6	93.37	70.06	76.57	92.76	78.6	81.05	78.46	105.94	92.59	103.61	104.37	78.43	86.3
CLASP2	37.28	59.84	47.57	58.86	61.78	62.73	63.82	63.2	74.19	81.66	72.56	92.57	107.05	115.26	153.17	148.78	148.78	129.67	151.82	282.27	324.26	285.49	330.26	303.59	387.78	270.21
CLASRP	14.7	15.34	21.03	25.15	9.64	16.88	16.2	17.51	16.71	14.01	16.85	20.22	8.91	3.4	5.91	9.49	18.83	23.37	2.07	15.77	6.22	6.06	11.25	8.28	17.13	13.73
CLC	1.72	12.99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.53	0	0	0	0	0	0	0	0	0	0	0
CLCA2	0	0	0	0.31	0	0	0	0	0	0	0	0	0	0.75	0	0	1.1	0	0	0	0	0	0	0	0	1.69
CLCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.62	0	0	0	0	0	0	0	1.06
CLCC1	33.68	19.34	24.09	31.86	45.04	45.21	48.09	48.68	73.5	73.55	78.42	67.39	76.02	95.66	70.12	54.31	39.06	65.5	72.22	83.38	55.14	73.27	41.78	61.59	31.14	61.43
CLCF1	0	0	0	0	4.6	0	6.35	1.81	5	2.97	0	5.51	4.17	2.59	0	10.06	0	6.86	0	0	0	0	4.4	0	0	0
CLCN1	0	0	0.29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCN2	4.61	5.63	15.57	16.56	16.99	9.42	12.38	11.34	10.05	1.65	1.98	5.09	7.25	9.58	5.73	12.82	16.77	3.8	5.84	3.09	7.52	4.88	5.49	6.24	10.27	11.83
CLCN3	43.59	57.24	54.75	62.99	64.95	76.03	93.84	83.7	119.5	158.45	151.4	124.3	137.65	102.05	134.76	163.08	137.73	158.62	147.83	189.91	182.5	158.11	170.28	125.83	174.45	132.92
CLCN4	6.92	6.6	11.32	11.2	11.22	11.72	10.47	12.78	11.18	8.98	15.57	6.87	8.84	10.43	13.52	10.74	21.54	9.46	13.18	19.93	17.21	18.38	30.82	13.82	28.2	23.82
CLCN5	14.11	12.38	14.41	15.63	14.11	15.85	23.8	18.2	19.74	24.78	24.16	19.73	23.7	16.57	13.04	23.92	19.46	20.11	17.67	13.91	18.08	11.61	9.57	19.24	13.77	12.34
CLCN6	20.02	16.12	16.76	22.32	19.65	13.77	31.83	30.76	16.05	17.93	19.77	37.98	41.01	24.86	44.99	69.82	68.15	58.3	23.24	28.67	22.51	24.92	84.87	63.03	63.69	29.86
CLCN7	24.93	20.44	19.2	23.24	15.84	18.13	17.59	14.3	17.88	28.24	15.52	18.23	14.42	24.3	8.94	8.88	21.72	24.05	22.15	18.75	11.69	9.1	20.94	15.14	9.17	11.43
CLCNKA	0	0	0	0	0	0	0.48	0	0	0	1.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLCNKB	0.97	2.1	0	0	0	2.89	0	0	3.54	1.6	5.79	2.23	2.63	0	2.28	0	0	0	0	2.7	2.74	0	0	0	0	0
CLDN1	1.22	2.64	1.28	1.44	0	0	14.82	33.63	93.77	117.4	110.49	4.19	5.75	5.26	26.19	11.21	30.67	18.54	44.02	21.47	14.33	11.72	10.6	12.9	13.8	13.77
CLDN10	25.92	17.88	24.26	20.05	29.37	20.8	27.63	26.38	19.38	10.46	14.26	12.3	16.59	4.87	0.66	5.67	0	3.22	4.64	1.57	4.78	2.33	2.23	0	3.07	14.12
CLDN11	4.53	0	0.67	4.57	4.37	8.17	6.7	6.5	1.74	2.51	9.97	6.42	1.96	3.13	1.36	8.82	6.84	16.19	13.29	2.25	1.63	0	8.88	2.81	0	22.2
CLDN12	65.9	60.97	91.53	84.87	84.48	87.82	82.6	58.21	62.42	59.83	46.64	98.6	75.04	58.03	68.16	74.31	90.22	50.86	45.8	77.07	43.2	53.23	42.53	45.41	70.06	57.23
CLDN14	0	0	0	0	0	0	0	0	0	0	3.47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
